sample_name	library_ID	BioProject accession	title	tissue	geographic location	sex	isolate	Lat	Lon	Anem_ID	Collection_Date	Size	Size_type	Tail_color	dev_stage	Collector	Notes	library_strategy	LibraryName	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
APCL13_236_L0269	L0269	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.874448	124.710622	131	2013-05-27	9.2	FL	YP	adult	MLP		RAD-Seq	L0269	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0269.F.fq.gz	APCL_L0269.R1.fq.gz
APCL13_248_L0281	L0281	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.874189	124.710685	136	2013-05-27	4.7	FL	YP	adult	MLP		RAD-Seq	L0281	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0281.F.fq.gz	APCL_L0281.R1.fq.gz
APCL13_266_L0299	L0299	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.868842	124.716458	148	2013-05-28	3.2	FL	YR	NA	MLP		RAD-Seq	L0299	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0299.F.fq.gz	APCL_L0299.R1.fq.gz
APCL13_271_L0304	L0304	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.868928	124.716436	152	2013-05-28	6.4	FL	O	adult	MLP		RAD-Seq	L0304	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0304.F.fq.gz	APCL_L0304.R1.fq.gz
APCL13_272_L0305	L0305	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.868928	124.716436	152	2013-05-28	3.7	FL	YR	NA	MLP		RAD-Seq	L0305	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0305.F.fq.gz	APCL_L0305.R1.fq.gz
APCL13_277_L0310	L0310	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871861	124.713779	157	2013-05-28	8.8	FL	O	adult	MLP		RAD-Seq	L0310	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0310.F.fq.gz	APCL_L0310.R1.fq.gz
APCL13_280_L0313	L0313	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871826	124.713835	159	2013-05-28	5.1	FL	YR	NA	MLP		RAD-Seq	L0313	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0313.F.fq.gz	APCL_L0313.R1.fq.gz
APCL13_301_L0332	L0332	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871349	124.714184	172	2013-05-28	6.7	FL	YP	adult	MLP		RAD-Seq	L0332	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0332.F.fq.gz	APCL_L0332.R1.fq.gz
APCL13_305_L0336	L0336	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871358	124.714182	175	2013-05-28	7.6	FL	O	adult	MLP		RAD-Seq	L0336	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0336.F.fq.gz	APCL_L0336.R1.fq.gz
APCL13_306_L0337	L0337	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871358	124.714182	175	2013-05-28	4	FL	YR	NA	MLP		RAD-Seq	L0337	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0337.F.fq.gz	APCL_L0337.R1.fq.gz
APCL13_324_L0351	L0351	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.854981	124.727633	190	2013-05-29	5.7	FL	YP	adult	MLP		RAD-Seq	L0351	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0351.F.fq.gz	APCL_L0351.R1.fq.gz
APCL13_333_L0357	L0357	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855341	124.726871	195	2013-05-29	6.9	FL	YP	adult	MLP		RAD-Seq	L0357	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0357.F.fq.gz	APCL_L0357.R1.fq.gz
APCL13_334_L0358	L0358	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855401	124.726892	196	2013-05-29	8.9	FL	O	adult	MLP		RAD-Seq	L0358	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0358.F.fq.gz	APCL_L0358.R1.fq.gz
APCL13_340_L0361	L0361	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855982	124.726333	200	2013-05-29	7.9	FL	YP	adult	MLP		RAD-Seq	L0361	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0361.F.fq.gz	APCL_L0361.R1.fq.gz
APCL13_348_L0367	L0367	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.857512	124.724867	204	2013-05-29	9.3	FL	YP	adult	MLP		RAD-Seq	L0367	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0367.F.fq.gz	APCL_L0367.R1.fq.gz
APCL13_364_L0378	L0378	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856231	124.725936	213	2013-05-29	2.4	FL	YR	NA	MLP		RAD-Seq	L0378	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0378.F.fq.gz	APCL_L0378.R1.fq.gz
APCL13_367_L0381	L0381	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85624	124.725881	214	2013-05-29	6.8	FL	YP	adult	MLP	#367 sort of looks sampled already	RAD-Seq	L0381	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0381.F.fq.gz	APCL_L0381.R1.fq.gz
APCL13_369_L0383	L0383	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856256	124.725801	215	2013-05-29	7.8	FL	O	adult	MLP		RAD-Seq	L0383	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0383.F.fq.gz	APCL_L0383.R1.fq.gz
APCL13_384_L0395	L0395	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856657	124.725367	220	2013-05-29	9	FL	O	adult	MLP		RAD-Seq	L0395	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0395.F.fq.gz	APCL_L0395.R1.fq.gz
APCL13_385_L0396	L0396	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869028	124.716467	222	2013-05-30	7.7	FL	YP	adult	MLP		RAD-Seq	L0396	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0396.F.fq.gz	APCL_L0396.R1.fq.gz
APCL13_389_L0399	L0399	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869036	124.716474	224	2013-05-30	5	FL	W	NA	MLP		RAD-Seq	L0399	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0399.F.fq.gz	APCL_L0399.R1.fq.gz
APCL13_398_L0404	L0404	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869091	124.716376	230	2013-05-30	7.8	FL	O	adult	MLP		RAD-Seq	L0404	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0404.F.fq.gz	APCL_L0404.R1.fq.gz
APCL13_087_L0423	L0423	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743478	124.786654	50	2013-05-24	9.8	FL	O	adult	MLP		RAD-Seq	L0423	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0423.F.fq.gz	APCL_L0423.R1.fq.gz
