Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,ligation_id,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,TISSUE,intentional_duplicate (run),dangling_references (run)
SRR10117903,RAD-Seq,assembly,173,39760982,PRJNA563695,SAMN12746877,Model organism or animal,13571296,RUTGERS,2017-05-25,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX6847770,Illumina HiSeq 2500,not applicable,L4449,SINGLE,Reduced Representation,GENOMIC,L4449,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_225_L4449,male,SRP220170,tail fin,,
SRR10117904,RAD-Seq,assembly,173,80119235,PRJNA563695,SAMN12746841,Model organism or animal,22821633,RUTGERS,2017-05-22,public,"sra,run.zq,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847769,Illumina HiSeq 2500,not applicable,L4413,SINGLE,Reduced Representation,GENOMIC,L4413,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_177_L4413,male,SRP220170,tail fin,,
SRR10117905,RAD-Seq,assembly,173,13257050,PRJNA563695,SAMN12746959,Model organism or animal,9048747,RUTGERS,2017-06-05,public,"bam,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",juvenile,SRX6847768,Illumina HiSeq 2500,not applicable,L4942,SINGLE,Reduced Representation,GENOMIC,L4942,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_474_L4942,not applicable,SRP220170,tail fin,,
SRR10117906,RAD-Seq,assembly,173,8993704,PRJNA563695,SAMN12746958,Model organism or animal,7555485,RUTGERS,2017-06-05,public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,SRX6847767,Illumina HiSeq 2500,not applicable,L4940,SINGLE,Reduced Representation,GENOMIC,L4940,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_472_L4940,female,SRP220170,tail fin,,
SRR10117907,RAD-Seq,assembly,173,10076355,PRJNA563695,SAMN12746957,Model organism or animal,8048180,RUTGERS,2017-06-05,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,SRX6847766,Illumina HiSeq 2500,not applicable,L4939,SINGLE,Reduced Representation,GENOMIC,L4939,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_470_L4939,male,SRP220170,tail fin,,
SRR10117908,RAD-Seq,assembly,173,9944501,PRJNA563695,SAMN12746956,Model organism or animal,7862271,RUTGERS,2017-06-05,public,"bam,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847765,Illumina HiSeq 2500,not applicable,L4938,SINGLE,Reduced Representation,GENOMIC,L4938,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_469_L4938,female,SRP220170,tail fin,,
SRR10117909,RAD-Seq,assembly,173,11099119,PRJNA563695,SAMN12746955,Model organism or animal,8328284,RUTGERS,2017-06-05,public,"bam,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,SRX6847764,Illumina HiSeq 2500,not applicable,L4937,SINGLE,Reduced Representation,GENOMIC,L4937,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_465_L4937,male,SRP220170,tail fin,,
SRR10117910,RAD-Seq,assembly,173,5477145,PRJNA563695,SAMN12746954,Model organism or animal,6278275,RUTGERS,2012-05-14,public,"run.zq,bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX6847763,Illumina HiSeq 2500,not applicable,L4936,SINGLE,Reduced Representation,GENOMIC,L4936,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL12_272_L4936,female,SRP220170,tail fin,,
SRR10117911,RAD-Seq,assembly,173,21708480,PRJNA563695,SAMN12746953,Model organism or animal,11660494,RUTGERS,2017-06-05,public,"sra,run.zq,bam","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",adult,SRX6847762,Illumina HiSeq 2500,not applicable,L4935,SINGLE,Reduced Representation,GENOMIC,L4935,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_463_L4935,male,SRP220170,tail fin,,
SRR10117912,RAD-Seq,assembly,173,12263989,PRJNA563695,SAMN12746952,Model organism or animal,8494697,RUTGERS,2017-06-05,public,"run.zq,bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847761,Illumina HiSeq 2500,not applicable,L4934,SINGLE,Reduced Representation,GENOMIC,L4934,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_462_L4934,female,SRP220170,tail fin,,
SRR10117913,RAD-Seq,assembly,173,6574095,PRJNA563695,SAMN12746951,Model organism or animal,6608241,RUTGERS,2017-06-05,public,"run.zq,sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847760,Illumina HiSeq 2500,not applicable,L4933,SINGLE,Reduced Representation,GENOMIC,L4933,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_461_L4933,male,SRP220170,tail fin,,
SRR10117914,RAD-Seq,assembly,173,2188052,PRJNA563695,SAMN12746950,Model organism or animal,5010039,RUTGERS,2017-06-05,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847759,Illumina HiSeq 2500,not applicable,L4932,SINGLE,Reduced Representation,GENOMIC,L4932,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_460_L4932,female,SRP220170,tail fin,,
